Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4
476,00:00:00.476,m,um,0,,,,,0,,,,
1598,00:00:01.598,m,xxx play some puzzles,1,puzzles,,,,0,,,,
3060,00:00:03.60,m,you want to play puzzles?,1,puzzles,,,,1,you,,,
4216,00:00:04.216,m,cool,0,,,,,0,,,,
5372,00:00:05.372,m,I mean awesome,0,,,,,1,i,,,
6120,00:00:06.120,m,look,0,,,,,0,,,,
9690,00:00:09.690,m,what do you want to play with?,0,,,,,1,you,,,
12138,00:00:12.138,m,show me,0,,,,,1,me,,,
12750,00:00:12.750,m,okay,0,,,,,0,,,,
14246,00:00:14.246,m,want to play with this?,0,,,,,1,this,,,
16320,00:00:16.320,m,this?,0,,,,,1,this,,,
18190,00:00:18.190,m,alright let's play,0,,,,,0,,,,
21658,00:00:21.658,m,yeah,0,,,,,0,,,,
24242,00:00:24.242,m,okay you know how to do this right?,0,,,,,2,you,this,,
25670,00:00:25.670,m,how do you open?,0,,,,,1,you,,,
27438,00:00:27.438,m,how do you open it?,0,,,,,2,you,it,,
30158,00:00:30.158,m,good job,0,,,,,0,,,,
31144,00:00:31.144,m,alright,0,,,,,0,,,,
33898,00:00:33.898,m,yeah,0,,,,,0,,,,
34544,00:00:34.544,m,uhoh,0,,,,,0,,,,
36346,00:00:36.346,m,alright,0,,,,,0,,,,
38148,00:00:38.148,m,now you know how we do this right?,0,,,,,3,you,we,this,
43792,00:00:43.792,m,yeah,0,,,,,0,,,,
45424,00:00:45.424,m,alright,0,,,,,0,,,,
46716,00:00:46.716,m,I'm putting the first one in okay?,1,one,,,,1,i,,,
50422,00:00:50.422,m,wow good job,0,,,,,0,,,,
52768,00:00:52.768,m,good job,0,,,,,0,,,,
53346,00:00:53.346,m,wait,0,,,,,0,,,,
53890,00:00:53.890,m,so this is the triangle,1,triangle,,,,1,this,,,
55250,00:00:55.250,m,so it's going to go right here,0,,,,,1,it,,,
58140,00:00:58.140,m,triangle,1,triangle,,,,0,,,,
59466,00:00:59.466,m,xxx like this,1,this,,,,1,this,,,
61064,00:01:01.64,m,see it?,0,,,,,1,it,,,
61438,00:01:01.438,m,that's a little,0,,,,,1,that,,,
62254,00:01:02.254,m,cross,0,,,,,0,,,,
63546,00:01:03.546,m,yeah,0,,,,,0,,,,
66232,00:01:06.232,m,cool,0,,,,,0,,,,
67422,00:01:07.422,m,it goes here,0,,,,,1,it,,,
68272,00:01:08.272,m,look,0,,,,,0,,,,
69258,00:01:09.258,m,then like this one with a circle,2,one,circle,,,1,this,,,
72318,00:01:12.318,m,circle,1,circle,,,,0,,,,
74460,00:01:14.460,m,circle,1,circle,,,,0,,,,
76160,00:01:16.160,m,then you got to put another circle,1,circle,,,,1,you,,,
77928,00:01:17.928,m,here your other circle,1,circle,,,,1,your,,,
80410,00:01:20.410,m,xxx cough?,1,cough,,,,0,,,,
81464,00:01:21.464,m,[grunting],0,,,,,0,,,,
82552,00:01:22.552,m,there we go,0,,,,,1,we,,,
83436,00:01:23.436,m,what about this one?,1,one,,,,1,this,,,
87482,00:01:27.482,m,what's that?,0,,,,,1,that,,,
87958,00:01:27.958,m,a star,1,star,,,,0,,,,
88944,00:01:28.944,m,that's a star,1,star,,,,1,that,,,
90032,00:01:30.32,m,okay let's find the star,1,start,,,,0,,,,
91052,00:01:31.52,m,it's right there,0,,,,,1,it,,,
91664,00:01:31.664,m,look,0,,,,,0,,,,
92140,00:01:32.140,m,look,0,,,,,0,,,,
92786,00:01:32.786,m,here,0,,,,,0,,,,
94350,00:01:34.350,m,here,0,,,,,0,,,,
94928,00:01:34.928,m,look,0,,,,,0,,,,
96764,00:01:36.764,m,alright,0,,,,,0,,,,
98770,00:01:38.770,m,and what's this?,0,,,,,1,this,,,
99654,00:01:39.654,m,is that,0,,,,,1,that,,,
100436,00:01:40.436,m,a,0,,,,,0,,,,
101762,00:01:41.762,m,square?,1,square,,,,0,,,,
102850,00:01:42.850,m,yeah,0,,,,,0,,,,
104550,00:01:44.550,m,there we go,0,,,,,1,we,,,
105672,00:01:45.672,m,good job,0,,,,,0,,,,
110296,00:01:50.296,m,where are you going to put it?,0,,,,,2,you,it,,
111282,00:01:51.282,m,[gasping],0,,,,,0,,,,
111860,00:01:51.860,m,where are you going to put it?,0,,,,,2,you,it,,
112404,00:01:52.404,m,xxx,0,,,,,0,,,,
113050,00:01:53.50,m,yeah,0,,,,,0,,,,
113594,00:01:53.594,m,good job,0,,,,,0,,,,
115430,00:01:55.430,m,good job,0,,,,,0,,,,
115974,00:01:55.974,m,xxx,0,,,,,0,,,,
117436,00:01:57.436,m,here you go,0,,,,,1,you,,,
118558,00:01:58.558,m,don't forget the,0,,,,,0,,,,
119238,00:01:59.238,m,the top,1,top,,,,0,,,,
123862,00:02:03.862,m,good job,0,,,,,0,,,,
125358,00:02:05.358,m,yay,0,,,,,0,,,,
126718,00:02:06.718,m,what about those xxx,0,,,,,1,those,,,
127466,00:02:07.466,m,don't forget these,0,,,,,1,these,,,
134096,00:02:14.96,m,yay,0,,,,,0,,,,
135150,00:02:15.150,m,good job,0,,,,,0,,,,
138346,00:02:18.346,m,yay,0,,,,,0,,,,
140420,00:02:20.420,m,good job,0,,,,,0,,,,
142154,00:02:22.154,m,[adult babble],0,,,,,0,,,,
143378,00:02:23.378,m,[laughing],0,,,,,0,,,,
144772,00:02:24.772,m,alright,0,,,,,0,,,,
145248,00:02:25.248,m,very good,0,,,,,0,,,,
146098,00:02:26.98,m,that was awesome,0,,,,,1,that,,,
146846,00:02:26.846,m,excellent,0,,,,,0,,,,
148784,00:02:28.784,m,do you want,0,,,,,1,you,,,
150212,00:02:30.212,m,do you want to,0,,,,,1,you,,,
151912,00:02:31.912,m,you want to do the,0,,,,,1,you,,,
154768,00:02:34.768,m,okay,0,,,,,0,,,,
156570,00:02:36.570,m,xxx,0,,,,,0,,,,
160038,00:02:40.38,m,bye xxx,0,,,,,0,,,,
162384,00:02:42.384,m,say bye xxx,0,,,,,0,,,,
164424,00:02:44.424,m,alright see you later,0,,,,,1,you,,,
