Participant ID,Referent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22C-P1,Witch (B),Speech,Type of parents' utterances,Which feature is questioned or emphasized,The presence of features (absent vs. present),Notes,,,Main referent,Domain,Sum of parents' utterances,Who label the referent first (children or parents),Any alternative labels for the referent,Alternative Label,Category hierarchy of labels,# of Labels (how many times the main referent's label has been emphasized),Perceptual features (the number of utterances that parents cue children to pay attention to the referents' perceptual features),Functional features (the number of utterances that parents cue children to pay attention to the referents' functional features),introspective features (# of utterances establishing introspective features),Taxonomic/Compare and contrast (# of utterances comparing or contrasting the main referent with another entity),Perceptual features (AE),Functional feature (AE),Introspective feature (AE),Taxonomic feature (AE),# of absent features (# of utterances addressing absent features),# of present features (# of utterances addressing present features),# of absent features (AE),# of present features (AE),Sum of features being emphasized,# of non-descrptive statements,# of descriptive statements,# of tag questions,# of fill-in blank questions,# of non-descrptive statements (AE),# of descriptive statements (AE),# of tag questions (AE),# of fill-in blank questions (AE)
,1,MOT: woah what's this?,FQ,NA,,,,,Witch,Social,5,child,no,,basic,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,3,,,,
,,CHI: a witch.,,,,,,,Cereal,Food,4,child,yes,frosted flakes,basic,1,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,,,,
,2,MOT: yeah.,NA,NA,,,,,Clown,Social,3,child,no,,basic,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,,,,
,3,MOT: what's she doing?,FQ,P,P,,,,Alligator,Animal,3,child,yes,crocodile,basic,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,,,,
,,CHI: um she's flying on a broomstick.,,,,,,,Football Player,Social,11,child,no,,basic,0,3,0,3,0,1,0,0,1,3,3,2,0,6,0,0,3,3,,,,
,4,MOT: is she going anyplace?,TQ,F,A,,,,Penguin,Animal,1,child,no,,basic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,CHI: uh no.,,,,,,,Elephant,Animal,5,child,yes,Indian elephant,superordinate,3,1,1,0,2,0,0,0,0,3,1,0,0,4,0,2,1,1,,,,
,5,MOT: no maybe we'll find out in the next picture?,FQ,NA,,,,,Pilot,Social,3,child,yes,airplane pilot,basic,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,,,,
,Cereal,,,,,,,,Lobster,Animal,6,child,no,,basic,2,0,3,1,0,0,0,0,0,3,0,0,0,3,0,1,1,1,,,,
,1,MOT: no maybe not.,NA,NA,,,,,Popcorn,Food,6,mother,no,,basic,2,1,1,2,0,0,0,0,0,1,2,0,0,3,1,1,2,0,,,,
,,CHI: frosted_flakes.,,,,,,,Teacher,Social,14,child,no,,basic,0,3,1,3,0,1,1,0,0,3,2,0,2,7,0,1,5,2,,,,
,2,MOT: frosted_flakes?,NA,L,,,,,Orange,Food,3,child,no,,basic,1,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,0,,,,
,3,MOT: mm I don't see any spoon so how are we supposed to eat it?,FQ,AE(P)+I+F,A,,,,Cake,Food,6,child,no,,basic,2,1,1,3,0,0,0,0,0,3,0,0,0,3,0,0,2,1,,,,
,,CHI: probably with your hands.,,,,,,,Horse,Animal,3,child,yes,pony,basic,3,0,1,3,0,0,0,0,0,3,0,0,0,3,0,2,1,0,,,,
,4,MOT: hands yeah that'd be fun.,NA,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MOT: okay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MOT: I can't see this at all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: clown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: a clown.,NA,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: why is why are his fingers in his ear?,FQ,P+F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: I don't know.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: probably too loud.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: probably too loud.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MOT: hm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alligator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: crocodile.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: is that a crocodile?,TQ,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: oh.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: see all the teeth?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: yeah lot's of teeth you're right.,NA,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Football Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: what's this?,FQ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: football player.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: what's he doing?,FQ,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: it's a she.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: oh it's a she?,TQ,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,MOT: oh you're right.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,MOT: I should've noticed that.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,MOT: what's she doing?,FQ,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: I think she's gonna throw the football.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,MOT: &=gasps yeah.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: a pen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Football Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: you don't have a football do you?,TQ,AE(P)+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: you've thrown other balls.,D,AE(T)+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CHI: like, bowling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: bowling yes you've thrown bowling balls.,NA,I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,MOT: they're heavy aren't they?,TQ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: penguin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: a penguin.,NA,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: broccoli.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MOT: oh broccoli's good.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: elephant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: elephant.,NA,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: yeah what type of elephant is it?,FQ,L+T,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: can you see?,TQ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,MOT: oh it's an Indian elephant because you see it has smaller ears and a rounded back.,D,L+T+P,A+P,"species not clear, observations are",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,MOT: they use those to move logs and stuff like trucks.,D,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: airplane pilot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: an airplane pilot?,NA,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: oh I think you're right.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: you didn't get to see the pilot on our plane did you?,TQ,L+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MOT: hm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: lobster.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: a lobster.,NA,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: what do you do with lobsters?,FQ,L+F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: cook (th)em and give em to Red_Lobster.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: cook (th)em and give (th)em to Red_Lobster?,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,MOT: you don't want to eat it yourself?,TQ,I+F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: like um you you fish crabs and you give (th)em to a restaurant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,MOT: mm-hm [= yes] they sell crabs you're right.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,MOT: they sell them to the restaurant and then the restaurant cooks them and sells them to other people.,D,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: looks like potatoes and carrots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: potatoes and carrots?,TQ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: and something else.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: hm let me see.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: I think that might actually be popcorn.,ND,I+L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,MOT: but you see it looks orange because of the shadows.,D,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,MOT: so the popcorn you don't eat popcorn though do you?,TQ,I+L+F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,MOT: mm-mm [= no].,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: what's this?,FQ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: a teacher.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: oh what's she teaching?,FQ,P+F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: don't know.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: doesn't this look familiar to you?,TQ,P+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,MOT: remember the triangles that grandma showed you?,TQ,I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: oh a squared plus b squared is c squared.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,MOT: that's right.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,MOT: and do you remember what that's called?,TQ,I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,MOT: the Pythagorean_Theorem.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,MOT: but this she's talking about angles.,D,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,MOT: do you see this?,TQ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: mm-hm [= yes].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,MOT: the triangles do you see the little arc there?,TQ,AE(P),P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: mm-hm [= yes].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,MOT: it's showing how how big that is.,NA,AE(F),P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,MOT: how far apart they are.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,MOT: they tell by degrees.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,MOT: which is a symbol with a little circle.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: an orange.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: oh do you like oranges?,TQ,L+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: I like I like um I like juices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: you like juices?,TQ,I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: I like orange juice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: it's good.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: a cake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: a cake.,NA,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: well.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: piece of cake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: does it look good?,TQ,P+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: uh-huh [= yes].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,MOT: mm how do you think they made it?,FQ,F+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: I think they cooked this part and then they put on the frosting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,MOT: mm do you like to eat cakes?,TQ,L+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: uh-huh [= yes].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: I liked my birthday cake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,MOT: oh.,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: a pony.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MOT: a pony birthday cake huh?,TQ,L+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MOT: a pony ponies are nice.,D,L+I,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MOT: you've ridden on ponies.,D,L+I+F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHI: the end.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MOT: the end hm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MOT: I wonder if they have any more books.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
