Order,ID,Utterance,Feature
1,7,"CHI:        oh it's orange and, uh, a thing on the, top.",P
1,7,CHI:        a pumpkin.,L
1,7,CHI:        a orange well it's a like a on the ground.,P+F
1,7,CHI:        grows out.,F
1,7,CHI:        hm &=shrugs.,NA
1,7,CHI:        that's a dancing.,L
1,7,"CHI:        maybe it's yellow and black and, and maybe it's pink, and right about it's, black ? um?.",P
1,7,CHI:        and pink and red.,P
1,7,CHI:        xxx this &=tries:turn_page.,NA
1,7,CHI:        red &=points:picture.,P
1,7,CHI:        butterfly.,L
1,7,"CHI:        a orange and black and, and white.",P
1,7,CHI:        it's flies.,F
1,7,"CHI:        and it's, flies in a flower.",F
1,7,CHI:        white and black.,P
1,7,CHI:        I know.,I
1,7,CHI:        that is a skunk.,L
1,7,CHI:        white and black.,P
1,7,CHI:        that is white and black &=points:picture.,NA
1,7,CHI:        a ice cream.,L
1,7,"CHI:        and a black um little bit orange there, and pink.",P
1,7,"CHI:        uh it's a have a thing on this, there.",P
1,7,"CHI:        this is, a Zorg this is orange and pink.",P
1,7,CHI:        oh.,NA
1,7,CHI:        a dolphin.,L
1,7,CHI:        wi and a white and a and blue.,P
1,7,CHI:        it's a blue and it splashes all around.,P+F
1,7,"CHI:        zorg this is blue and white and, and black.",P
1,7,CHI:        that's orange and black and green.,P
1,7,CHI:        a pinecone.,L
1,7,CHI:        it's orange and a green.,P
1,7,CHI:        zorg this is orange and green.,P
1,7,CHI:        see &=turns:page?,NA
1,7,CHI:        a firefire.,L
1,7,"CHI:        it's black and green, and colors.",P
1,7,CHI:        it's have white.,P
1,7,CHI:        zorg this is white and black and colors.,P
1,7,CHI:        pie.,L
1,7,CHI:        orange and.,P
1,7,CHI:        hm.,NA
1,7,"CHI:        and uh hm when can that, be on the bottom &=points:picture.",P
1,7,"CHI:        it's orange and, and orange.",P
1,7,"CHI:        a orange and a, nother orange.",NA
1,7,"CHI:        and a birdie with blue and green, and blue and yellow.",L+P
1,7,CHI:        its flies has wings.,F+P
1,7,CHI:        it's a it flies.,F
1,7,CHI:        it does xxx and it and it goes in a cave.,F
1,7,CHI:        a blue and green and yellow.,P
1,7,CHI:        a cracker.,L
1,7,"CHI:        a cracker that's that's blue and a I mean a, orange and white.",L+P
1,7,CHI:        it's a colors.,P
1,7,CHI:        it can eat.,F
1,7,CHI:        it eats.,NA
1,7,CHI:        zorg this is orange and white.,P
1,7,CHI:        so.,NA
1,7,"CHI:        it's a blue, and green I mean, I mean what is this?",P
1,7,CHI:        I think this is blue and green and yellow and black and and grey and yellow blue.,P
1,7,CHI:        it's walks.,F
1,7,CHI:        so.,NA
1,7,CHI:        a cat.,L
1,7,CHI:        a a let's see.,NA
1,7,CHI:        yellow and black.,P
1,7,CHI:        it has paws and it have a long tail.,P
1,7,CHI:        zorg Zorg this is white and ?black?.,P
1,7,CHI:        a black and a white.,P
1,7,CHI:        it it walks.,F
1,7,CHI:        zorg this is black and white.,P
2,8,CHI:        a pineapple.,L
2,8,"CHI:        it has thorns, like stick +...",P+T
2,8,"CHI:        and, it has green [?] stuff on right here.",P
2,8,CHI:        a kitty.,L
2,8,CHI:        it has stripes.,P
2,8,CHI:        and it has a stripe- it has stripes on the foot.,P
2,8,"CHI:        it has, one two three four legs.",P
2,8,"CHI:        and, yeah.",NA
2,8,CHI:                ?a skunk?.,L
2,8,"CHI:        um, I have a beanie baby skunk.",I+T
2,8,CHI:        <a beanie baby one> [?].,NA
2,8,CHI:        what?,NA
2,8,CHI:        uh-huh [= yes].,NA
2,8,CHI:        it has white stuff.,P
2,8,"CHI:        and, it has pointy <stuff on it> [?].",P
2,8,CHI:        and it stinks.,P
2,8,CHI:        and it's all black.,P
2,8,CHI:        a little is white.,P
2,8,CHI:        a cupcake.,L
2,8,CHI:        um it has raisins in it or blueberries.,P
2,8,"CHI:        and, one time I went picking blueberries.",NA
2,8,CHI:        I had to have the smallest pan (be)cause I was the littlest.,NA
2,8,CHI:        firstname has had the big one but my mommy and daddy had the biggest.,NA
2,8,CHI:        my daddy used what I used when he was little.,NA
2,8,CHI:        uh-huh [= yes].,NA
2,8,"CHI:        it has nuts in it, too.",P
2,8,CHI:        a fireman.,L
2,8,CHI:        um he is wash- he's getting out the fire.,P
2,8,CHI:        uh-huh [= yes] he's just xxx that he's holding.,P
2,8,"CHI:        and, he has a point he has a thing.",P
2,8,CHI:        ah &=turns:page.,NA
2,8,CHI:        a ballerina.,L
2,8,"CHI:        mm she, these things are called tutus &=points:tutu.",P
2,8,CHI:        it's a kind of a funny name.,I
2,8,"CHI:        and, toe shoes.",P
2,8,CHI:        another toe shoe.,P
2,8,"CHI:        and she has, yellow hair.",P
2,8,CHI:        black tights.,P
2,8,CHI:        I have a ballerina suit.,I+L
2,8,CHI:        but it's light pink.,I
2,8,CHI:        &=laughs and I don't know.,I
2,8,CHI:        a parrot.,L
2,8,CHI:        um it has a bunch of blue and green.,P
2,8,CHI:        green here and green here.,P
2,8,CHI:        yellow and yellow.,P
2,8,CHI:        and it's um he's standing on something.,P
2,8,CHI:        mm-hm [= yes].,NA
2,8,CHI:        and it has ears [?].,P
2,8,CHI:        bunch of xxx.,NA
2,8,CHI:        next one what is I know this one.,I
2,8,CHI:        um a a dolphin or a whale.,T+L
2,8,CHI:        um it has a bunch of black and white on the bottom.,P
2,8,CHI:        I guess it's a whale.,L
2,8,"CHI:        and it's swimming in, a lake.",P
2,8,CHI:        I'm finished.,NA
2,8,"CHI:        um it's a, man that's working in his office.",L
2,8,CHI:        um he has glasses but he's a little mad.,P+I
2,8,CHI:        yes.,NA
2,8,CHI:        and he has a book ?<I mean> [?]?.,P
2,8,CHI:        &=laughs oh.,NA
2,8,CHI:        and he has a mean look.,I
2,8,CHI:        a cracker.,L
2,8,CHI:        it's a saltine cracker.,T+L
2,8,CHI:        and it has holes in it.,P
2,8,CHI:        it has one two three four five six seven eight nine ten eleven twelve thirteen fourteen.,P
2,8,CHI:        fourteen.,P
2,8,CHI:        a pumpkin for a pumpkin.,L
2,8,"CHI:        um, it's, it's for Halloween.",F
2,8,"CHI:        and, it, and it has stripes on it.",P
2,8,CHI:        it's orange.,P
2,8,"CHI:        mm-hm [= yes], and it has a handle.",P
2,8,"CHI:        and, it, and the handle's blue [?].",P
2,8,"CHI:        and, and um and that's all.",NA
2,8,CHI:        a ski girl.,L
2,8,CHI:        um she's holding a stick and she has glasses on and a necklace.,P
2,8,CHI:        three necklaces.,P
2,8,CHI:        three one two.,NA
2,8,CHI:        one two and three.,NA
2,8,CHI:        it doesn't go three one two.,NA
2,8,CHI:        &=laughs.,NA
2,8,"CHI:        mm-hm [= yes], um and she has blue pants.",P
2,8,CHI:        and pink shirt.,P
2,8,"CHI:        and, very very light, shirt [?].",P
2,8,CHI:        very very very light color shirt.,NA
2,8,CHI:        that's all I know.,I
2,8,CHI:        and she has a bow.,P
2,8,CHI:        um a guy on a race car at a race car is it at a race car.,L
2,8,CHI:        they're gonna race.,I+P
2,8,CHI:        &=turns:page &=turns:page_back ah.,NA
2,8,CHI:        um he has a dog print on his shirt.,P
2,8,"CHI:        and another, and he has glasses.",P
2,8,CHI:        a hat.,P
2,8,CHI:        white tan and black here.,P
2,8,CHI:        and pink here.,P
2,8,CHI:        and pink right there.,NA
2,8,CHI:        and purple on here.,P
2,8,"CHI:        mm-hm [= yes], and the cars have numbers on them.",P
2,8,CHI:        and there's everyone.,P
2,8,CHI:        there's a lot of.,P
2,8,CHI:        I'm done.,NA
2,8,CHI:        an ice cream cone.,L
2,8,"CHI:        um it has pink for the ice cream and dark gold for, um, for the the I mean the cone.",P+L
2,8,CHI:        you can have ice cream when you're outside like I do xxx.,F+L+I
2,8,CHI:        &=peeks:next_page oh this one's gonna be a good one [?] next.,NA
2,8,CHI:        and it has squares on it.,P
2,8,CHI:        a butterfly.,L
2,8,CHI:        it has dots on here and orange ?on it?.,P
2,8,CHI:        a bunch of orange.,P
2,8,"CHI:        mm-hm [= yes], and, it has little orange dots.",P
2,8,CHI:        &=turns:page and that's all.,NA
3,10,CHI:        I know what it is.,NA
3,10,"CHI:        um let's see, okay.",NA
3,10,"CHI:        um a, picture of someone playing baseball.",L
3,10,"CHI:        and um, um, this guy is getting ready to hit the ball.",P
3,10,CHI:        or try to hit the ?ball?.,P
3,10,CHI:        what else?,NA
3,10,"CHI:        hm, you need to like be a, maybe have a you don't really actually have to but some people have like a baseball hat.",I+F
3,10,CHI:        to wear.,F
3,10,CHI:        oh.,NA
3,10,CHI:        now ?bread?.,L
3,10,CHI:        and um you can slice it or you can eat it when it's whole.,F
3,10,"CHI:        but if you want, like if somebody wants a half and another person wants a half then you can cut it in half.",F
3,10,"CHI:        and um, um there are lots of different kinds of bread like wheat bread.",F+T
3,10,CHI:        let's see whole wheat bread.,T
3,10,CHI:        plain bread.,T
3,10,CHI:        white bread.,T
