Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,Nouns_Spacy,Pronoun_Spacy,,
13532,00:00:13.532,m,no what?,0,,,,,0,,,,,,,,0,1,0.809017439387494,0.831561037856231
16966,00:00:16.966,m,huh?,0,,,,,0,,,,,,,,0,0,,
18258,00:00:18.258,m,you want to play with markers?,1,markers,,,,1,you,,,,,,,1,1,,
19380,00:00:19.380,m,okay.,0,,,,,0,,,,,,,,0,0,,
22406,00:00:22.406,m,did Deeda do markers with you?,2,deeda,markers,,,1,you,,,,,,,1,1,,
24412,00:00:24.412,m,that's fun.,0,,,,,1,that,,,,,,,0,1,,
25466,00:00:25.466,m,where are they?,0,,,,,1,they,,,,,,,0,1,,
26316,00:00:26.316,m,are they over here?,0,,,,,1,they,,,,,,,0,1,,
27574,00:00:27.574,m,okay.,0,,,,,0,,,,,,,,0,0,,
27914,00:00:27.914,m,let's see.,0,,,,,0,,,,,,,,0,1,,
29886,00:00:29.886,m,oh.,0,,,,,0,,,,,,,,0,0,,
30260,00:00:30.260,m,here are the crayons do you want to do crayons?,2,crayons,crayons,,,1,you,,,,,,,2,1,,
32912,00:00:32.912,m,markers?,1,markers,,,,0,,,,,,,,1,0,,
34612,00:00:34.612,m,you did markers with Deeda?,2,markers,deeda,,,1,you,,,,,,,1,1,,
36516,00:00:36.516,m,okay let's see.,0,,,,,0,,,,,,,,0,1,,
37298,00:00:37.298,m,um where are they though?,0,,,,,1,they,,,,,,,0,1,,
39644,00:00:39.644,m,I don't see them.,0,,,,,2,i,them,,,,,,0,2,,
42772,00:00:42.772,m,where?,0,,,,,0,,,,,,,,0,0,,
44438,00:00:44.438,m,huh?,0,,,,,0,,,,,,,,0,0,,
46342,00:00:46.342,m,you want to do this one for a minute?,2,one,minute,,,2,you,this,,,,,,2,1,,
50286,00:00:50.286,m,here.,0,,,,,0,,,,,,,,0,0,,
50660,00:00:50.660,m,let's start with this one.,1,one,,,,1,this,,,,,,,1,1,,
51612,00:00:51.612,m,I'll find more markers.,1,markers,,,,1,i,,,,,,,1,1,,
55080,00:00:55.80,m,this one?,1,one,,,,1,this,,,,,,,1,0,,
56508,00:00:56.508,m,okay.,0,,,,,0,,,,,,,,0,0,,
58310,00:00:58.310,m,I don't know where did I put the markers I'll have to look for them.,1,markers,,,,4,i,i,i,them,,,,1,4,,
63308,00:01:03.308,m,I'll find them.,0,,,,,2,i,them,,,,,,0,2,,
64668,00:01:04.668,m,why don't you start with that one?,1,one,,,,2,you,that,,,,,,0,1,,
66742,00:01:06.742,m,here.,0,,,,,0,,,,,,,,0,0,,
66946,00:01:06.946,m,let's see.,0,,,,,0,,,,,,,,0,1,,
67524,00:01:07.524,m,you need more?,0,,,,,1,you,,,,,,,0,1,,
69088,00:01:09.88,m,oh.,0,,,,,0,,,,,,,,0,0,,
69326,00:01:09.326,m,no.,0,,,,,0,,,,,,,,0,0,,
72318,00:01:12.318,m,there you go.,0,,,,,1,you,,,,,,,0,1,,
76704,00:01:16.704,m,I'm looking I don't know where she put them.,0,,,,,4,i,i,she,them,,,,0,4,,
79832,00:01:19.832,m,mmm.,0,,,,,0,,,,,,,,0,0,,
83096,00:01:23.96,m,let's see.,0,,,,,0,,,,,,,,0,1,,
