Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
16626,00:00:16.626,m,let me change your diaper,1,diaper,,,,2,me,your,,,,,
36720,00:00:36.720,m,oh,0,,,,,0,,,,,,,
37298,00:00:37.298,m,this isn't that bad,0,,,,,1,this,,,,,,
40018,00:00:40.18,m,I'm gonna change you anyway,0,,,,,2,i,you,,,,,
68204,00:01:08.204,m,uh,0,,,,,0,,,,,,,
68442,00:01:08.442,m,bless you,0,,,,,0,,,,,,,
72046,00:01:12.46,m,just one?,1,one,,,,0,,,,,,,
76568,00:01:16.568,m,one sneeze?,1,sneeze,,,,0,,,,,,,
82144,00:01:22.144,m,two?,1,two,,,,0,,,,,,,
82756,00:01:22.756,m,you want two sneezes?,1,sneezes,,,,1,you,,,,,,
84082,00:01:24.82,m,where's the other one?,1,one,,,,0,,,,,,,
85170,00:01:25.170,m,usually we get two or three,2,two,three,,,1,we,,,,,,
95744,00:01:35.744,m,you're not supposed to interact with her,0,,,,,2,you,her,,,,,
108562,00:01:48.562,m,you wanna read it?,0,,,,,2,you,it,,,,,
110466,00:01:50.466,m,can we,0,,,,,1,we,,,,,,
110670,00:01:50.670,m,can we read the full version instead?,1,version,,,,1,we,,,,,,
112336,00:01:52.336,m,because that's the half version,1,version,,,,1,that,,,,,,
113730,00:01:53.730,m,and I don't like the half version,1,version,,,,1,i,,,,,,
114580,00:01:54.580,m,that's from when you were like,0,,,,,2,that,you,,,,,
116110,00:01:56.110,m,really too xxx,0,,,,,0,,,,,,,
117096,00:01:57.96,m,you have the patience for the rest of the book,2,patience,book,,,1,you,,,,,,
120224,00:02:00.224,m,with breakfast,1,breakfast,,,,0,,,,,,,
120938,00:02:00.938,m,okay?,0,,,,,0,,,,,,,
123046,00:02:03.46,m,can we read it with breakfast please?,1,breakfast,,,,2,we,it,,,,,
129846,00:02:09.846,m,one,1,one,,,,0,,,,,,,
130288,00:02:10.288,m,two,1,two,,,,0,,,,,,,
130866,00:02:10.866,m,three,1,three,,,,0,,,,,,,
133756,00:02:13.756,m,three snaps,1,snaps,,,,0,,,,,,,
144024,00:02:24.24,m,oh,0,,,,,0,,,,,,,
146268,00:02:26.268,m,excuse us,0,,,,,0,,,,,,,
148172,00:02:28.172,m,[laugh],0,,,,,0,,,,,,,
149362,00:02:29.362,m,teeth brush,1,teethbrush,,,,0,,,,,,,
151776,00:02:31.776,m,there she's,0,,,,,1,she,,,,,,
152422,00:02:32.422,m,she's,0,,,,,1,she,,,,,,
152592,00:02:32.592,m,don't worry,0,,,,,0,,,,,,,
152830,00:02:32.830,m,she's coming,0,,,,,1,she,,,,,,
153170,00:02:33.170,m,she's gonna be following you all day,1,day,,,,2,she,you,,,,,
155142,00:02:35.142,m,well,0,,,,,0,,,,,,,
155890,00:02:35.890,m,all morning,1,morning,,,,0,,,,,,,
179350,00:02:59.350,m,ah,0,,,,,0,,,,,,,
229772,00:03:49.772,m,can you do this?,0,,,,,2,you,this,,,,,
232084,00:03:52.84,m,xxx,0,,,,,0,,,,,,,
232968,00:03:52.968,m,Caleb,1,caleb,,,,0,,,,,,,
233444,00:03:53.444,m,ah,0,,,,,0,,,,,,,
235280,00:03:55.280,m,good,0,,,,,0,,,,,,,
241740,00:04:01.740,m,all done,0,,,,,0,,,,,,,
253844,00:04:13.844,m,what did Papa make you for breakfast?,2,papa,breakfast,,,1,you,,,,,,
257244,00:04:17.244,m,uh,0,,,,,0,,,,,,,
258706,00:04:18.706,m,hmm,0,,,,,0,,,,,,,
259522,00:04:19.522,m,it's yogurt,1,yogurt,,,,1,it,,,,,,
260882,00:04:20.882,m,you want to make coffee?,1,coffee,,,,1,you,,,,,,
262684,00:04:22.684,m,coffee?,1,coffee,,,,0,,,,,,,
268498,00:04:28.498,m,what happened here?,0,,,,,0,,,,,,,
274754,00:04:34.754,m,your kitchen,1,kitchen,,,,1,your,,,,,,
275372,00:04:35.372,m,sir,1,sir,,,,0,,,,,,,
275944,00:04:35.944,m,is in disarray,0,,,,,0,,,,,,,
298690,00:04:58.690,m,oh,0,,,,,0,,,,,,,
299200,00:04:59.200,m,right,0,,,,,0,,,,,,,
299540,00:04:59.540,m,you started to tear this off last night,1,night,,,,2,you,this,,,,,
313786,00:05:13.786,m,oh,0,,,,,0,,,,,,,
314194,00:05:14.194,m,right,0,,,,,0,,,,,,,
314398,00:05:14.398,m,we have to mail the your thingy today,1,thingy,,,,2,we,your,,,,,
317322,00:05:17.322,m,we do have to go outside,0,,,,,1,we,,,,,,
318240,00:05:18.240,m,that sucks,0,,,,,0,,,,,,,
319634,00:05:19.634,m,alright,0,,,,,0,,,,,,,
320246,00:05:20.246,m,we have to mail your,0,,,,,2,we,your,,,,,
320926,00:05:20.926,m,hmm,0,,,,,0,,,,,,,
321844,00:05:21.844,m,performer's permit,1,performerspermit,,,,0,,,,,,,
322966,00:05:22.966,m,coffee,1,coffee,,,,0,,,,,,,
323306,00:05:23.306,m,that's what I was doing,0,,,,,2,that,i,,,,,
325074,00:05:25.74,m,coffee,1,coffee,,,,0,,,,,,,
330072,00:05:30.72,m,yeah,0,,,,,0,,,,,,,
330650,00:05:30.650,m,coffee coffee coffee coffee coffee,1,coffee,,,,0,,,,,,,
332010,00:05:32.10,m,you're as excited as I am,0,,,,,2,you,i,,,,,
336430,00:05:36.430,m,okay,0,,,,,0,,,,,,,
340102,00:05:40.102,m,ah,0,,,,,0,,,,,,,
340238,00:05:40.238,m,up?,0,,,,,0,,,,,,,
