Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
transcribe.onset,transcribe.offset,transcribe.source,transcribe.content,0,,,,,,0,,,,,,,
12580,00:00:12.580,m,put the top on it,1,top,,,,,1,it,,,,,,
14144,00:00:14.144,m,can you put the top on it for me?,1,top,,,,,3,you,it,me,,,,
18108,00:00:18.108,m,going to save that one,1,one,,,,,1,that,,,,,,
19229,00:00:19.229,m,we're going to put these away,0,,,,,,2,we,these,,,,,
21726,00:00:21.726,m,so we have room,1,room,,,,,1,we,,,,,,
25024,00:00:25.24,m,and then we do your trains,1,trains,,,,,2,we,your,,,,,
28277,00:00:28.277,m,we do trains?,1,trains,,,,,1,we,,,,,,
33490,00:00:33.490,m,hi Mills,1,mills,,,,,0,,,,,,,
36822,00:00:36.822,m,oh do you want to do that one instead?,1,one,,,,,2,you,that,,,,,
45501,00:00:45.501,m,William,1,william,,,,,0,,,,,,,
49436,00:00:49.436,m,do you want to do these instead?,0,,,,,,2,you,these,,,,,
54371,00:00:54.371,m,okay we'll do these again,0,,,,,,2,we,these,,,,,
60452,00:01:00.452,m,do you want to do the tracks?,1,tracks,,,,,1,you,,,,,,
63784,00:01:03.784,m,do you want to do these?,0,,,,,,2,you,these,,,,,
65618,00:01:05.618,m,should we can you hand them to me?,0,,,,,,4,we,you,them,me,,,
67388,00:01:07.388,m,can you hand me more?,0,,,,,,2,you,me,,,,,
68899,00:01:08.899,m,okay mama build it for you,1,mama,,,,,2,it,you,,,,,
70754,00:01:10.754,m,okay I need more I need more like this one,1,one,,,,,3,i,i,this,,,,
72760,00:01:12.760,m,an you find another one like this?,1,one,,,,,2,you,this,,,,,
77350,00:01:17.350,m,oh yeah that's a good one,1,one,,,,,1,that,,,,,,
79701,00:01:19.701,m,is there any more?,0,,,,,,0,,,,,,,
84592,00:01:24.592,m,choo choo,0,,,,,,0,,,,,,,
85771,00:01:25.771,m,good job okay we'll hold that out,0,,,,,,2,we,that,,,,,
87516,00:01:27.516,m,when we get our train going,1,train,,,,,2,we,our,,,,,
90134,00:01:30.134,m,okay but we need more tracks don't we?,1,tracks,,,,,2,we,we,,,,,
94062,00:01:34.62,m,we need more tracks,1,tracks,,,,,1,we,,,,,,
95778,00:01:35.778,m,can you find more?,0,,,,,,1,you,,,,,,
100538,00:01:40.538,m,good job,0,,,,,,0,,,,,,,
107916,00:01:47.916,m,uhoh we're going to run out of track,1,track,,,,,1,we,,,,,,
111628,00:01:51.628,m,oh should we do this one?,1,one,,,,,1,we,this,,,,,
112574,00:01:52.574,m,you like this one,1,one,,,,,2,you,this,,,,,
118898,00:01:58.898,m,this one oh we got to find something to put underneath,1,one,,,,,2,this,we,,,,,
124304,00:02:04.304,m,do you want to do this,0,,,,,,2,you,this,,,,,
126106,00:02:06.106,m,okay,0,,,,,,0,,,,,,,
126956,00:02:06.956,m,you make the train go?,1,train,,,,,1,you,,,,,,
128545,00:02:08.545,m,can you make the train go over there?,1,train,,,,,1,you,,,,,,
133926,00:02:13.926,m,good job,0,,,,,,0,,,,,,,
136578,00:02:16.578,m,good job,0,,,,,,0,,,,,,,
148583,00:02:28.583,m,okay I think you got a circle now,1,circle,,,,,2,i,you,,,,,
152864,00:02:32.864,m,want to blow the whistle?,1,whistle,,,,,0,,,,,,,
155550,00:02:35.550,m,choo choo,0,,,,,,0,,,,,,,
160575,00:02:40.575,m,good job,0,,,,,,0,,,,,,,
179044,00:02:59.44,m,could you put this one back here,1,one,,,,,2,you,this,,,,,
181934,00:03:01.934,m,xxx,0,,,,,,0,,,,,,,
187095,00:03:07.95,m,where's the rock?,1,rock,,,,,0,,,,,,,
189040,00:03:09.40,m,oh here we go,0,,,,,,1,we,,,,,,
190534,00:03:10.534,m,should we give it a bridge?,1,bridge,,,,,2,we,it,,,,,
192848,00:03:12.848,m,or a tunnel?,1,tunnel,,,,,0,,,,,,,
198016,00:03:18.16,m,here's a tunnel,1,tunnel,,,,,0,,,,,,,
202356,00:03:22.356,m,you go under?,0,,,,,,1,you,,,,,,
204340,00:03:24.340,m,good job,0,,,,,,0,,,,,,,
207026,00:03:27.26,m,choo choo,0,,,,,,0,,,,,,,
216104,00:03:36.104,m,here we go,0,,,,,,1,we,,,,,,
235042,00:03:55.42,m,which one is the blue car?,2,one,car,,,,0,,,,,,,
237352,00:03:57.352,m,which one is blue?,2,one,blue,,,,0,,,,,,,
238313,00:03:58.313,m,which one of these is blue?,2,one,blue,,,,1,these,,,,,,
239496,00:03:59.496,m,can you tell me?,0,,,,,,2,you,me,,,,,
240788,00:04:00.788,m,can you show me?,0,,,,,,2,you,me,,,,,
242261,00:04:02.261,m,which one of these is blue?,2,one,blue,,,,1,these,,,,,,
244731,00:04:04.731,m,that's right,0,,,,,,1,that,,,,,,
247044,00:04:07.44,m,orange,1,orange,,,,,0,,,,,,,
248642,00:04:08.642,m,green,1,green,,,,,0,,,,,,,
253197,00:04:13.197,m,oh your noodle is blue,2,noodle,blue,,,,1,your,,,,,,
256122,00:04:16.122,m,what's this?,0,,,,,,1,this,,,,,,
256394,00:04:16.394,m,is this orange?,1,orange,,,,,1,this,,,,,,
257880,00:04:17.880,m,is that your wagon?,1,wagon,,,,,2,that,your,,,,,
258944,00:04:18.944,m,is that orange?,1,orange,,,,,1,that,,,,,,
261290,00:04:21.290,m,wagon,1,wagon,,,,,0,,,,,,,
262004,00:04:22.4,m,it's orange,1,orange,,,,,1,it,,,,,,
263364,00:04:23.364,m,what else is orange?,1,orange,,,,,0,,,,,,,
263908,00:04:23.908,m,which one of these is orange?,2,one,orange,,,,1,these,,,,,,
266254,00:04:26.254,m,nope that one's blue,2,one,blue,,,,1,that,,,,,,
268226,00:04:28.226,m,which one is orange?,2,one,orange,,,,0,,,,,,,
269654,00:04:29.654,m,is this one orange?,2,one,orange,,,,1,this,,,,,,
272374,00:04:32.374,m,is that orange just like your wagon?,2,orange,wagon,,,,2,that,your,,,,,
277984,00:04:37.984,m,choo choo,0,,,,,,0,,,,,,,
303960,00:05:03.960,m,xxx so we can fit the other one,1,one,,,,,1,we,,,,,,
307156,00:05:07.156,m,I don't think it's going to fit I don't,0,,,,,,3,i,it,i,,,,
311950,00:05:11.950,m,[sound effect],0,,,,,,0,,,,,,,
320552,00:05:20.552,m,choo choo,0,,,,,,0,,,,,,,
337654,00:05:37.654,m,is that a monkey?,1,monkey,,,,,1,that,,,,,,
340351,00:05:40.351,m,that's for xxx,0,,,,,,1,that,,,,,,
345678,00:05:45.678,m,put a froggie over here,1,froggie,,,,,0,,,,,,,
348485,00:05:48.485,m,anda  goat,1,goat,,,,,0,,,,,,,
349690,00:05:49.690,m,what's this?,0,,,,,,1,this,,,,,,
351356,00:05:51.356,m,that's a puppy dog like Milly,2,puppydog,milly,,,,1,that,,,,,,
355434,00:05:55.434,m,yeah what does a puppy say?,1,puppy,,,,,0,,,,,,,
358160,00:05:58.160,m,say woof woof,0,,,,,,0,,,,,,,
361522,00:06:01.522,m,is it a monkey?,1,monkey,,,,,1,it,,,,,,
365602,00:06:05.602,m,oh we got a tractor,1,tractor,,,,,1,we,,,,,,
367574,00:06:07.574,m,could you put the tract,1,tract,,,,,1,you,,,,,,
368286,00:06:08.286,m,Milly hush,1,milly,,,,,0,,,,,,,
373484,00:06:13.484,m,you want to turn it on?,0,,,,,,2,you,it,,,,,
376516,00:06:16.516,m,can you do the button?,1,button,,,,,1,you,,,,,,
387648,00:06:27.648,m,all done,0,,,,,,0,,,,,,,
395486,00:06:35.486,m,can you get it?,0,,,,,,2,you,it,,,,,
399840,00:06:39.840,m,[laugh],0,,,,,,0,,,,,,,
404850,00:06:44.850,m,I am so happy,0,,,,,,1,i,,,,,,
406612,00:06:46.612,m,nope,0,,,,,,0,,,,,,,
410754,00:06:50.754,m,[laugh],0,,,,,,0,,,,,,,
416806,00:06:56.806,m,all done,0,,,,,,0,,,,,,,
421838,00:07:01.838,m,[laugh],0,,,,,,0,,,,,,,
425470,00:07:05.470,m,no,0,,,,,,0,,,,,,,
426734,00:07:06.734,m,he doesn't get to sing a song huh,1,song,,,,,1,he,,,,,,
431120,00:07:11.120,m,[laugh],0,,,,,,0,,,,,,,
434588,00:07:14.588,m,oop all done,0,,,,,,0,,,,,,,
440572,00:07:20.572,m,can you dance?,0,,,,,,1,you,,,,,,
442476,00:07:22.476,m,can you dance dance?,0,,,,,,1,you,,,,,,
443736,00:07:23.736,m,no,0,,,,,,0,,,,,,,
450602,00:07:30.602,m,[laugh],0,,,,,,0,,,,,,,
451503,00:07:31.503,m,you being silly,0,,,,,,1,you,,,,,,
456484,00:07:36.484,m,[laugh],0,,,,,,0,,,,,,,
466752,00:07:46.752,m,can you dance?,0,,,,,,1,you,,,,,,
468180,00:07:48.180,m,nope,0,,,,,,0,,,,,,,
485792,00:08:05.792,m,what about this button?,1,button,,,,,1,this,,,,,,
486875,00:08:06.875,m,can you push the front button?,1,button,,,,,1,you,,,,,,
490314,00:08:10.314,m,can you push it?,0,,,,,,2,you,it,,,,,
491399,00:08:11.399,m,push it,0,,,,,,1,it,,,,,,
497862,00:08:17.862,m,all done,0,,,,,,0,,,,,,,
505784,00:08:25.784,m,can you let him sing?,0,,,,,,2,you,him,,,,,
546686,00:09:06.686,m,I don't think he fits,0,,,,,,2,i,he,,,,,
549304,00:09:09.304,m,yeah he's not quite the same as the trains,1,trains,,,,,1,he,,,,,,
553049,00:09:13.49,m,are you going to build the tunnel?,1,tunnel,,,,,1,you,,,,,,
563873,00:09:23.873,m,oh that's very nice,0,,,,,,1,that,,,,,,
572526,00:09:32.526,m,can you dance?,0,,,,,,1,you,,,,,,
583542,00:09:43.542,m,all done,0,,,,,,0,,,,,,,
628300,00:10:28.300,m,choo choo choo choo,0,,,,,,0,,,,,,,
634334,00:10:34.334,m,uhoh is it falling off?,0,,,,,,1,it,,,,,,
636492,00:10:36.492,m,oh no,0,,,,,,0,,,,,,,
639018,00:10:39.18,m,can you fix it?,0,,,,,,2,you,it,,,,,
653612,00:10:53.612,m,the tracks are falling apart xxx,1,tracks,,,,,0,,,,,,,
661096,00:11:01.96,m,hey William can you tell me which one is the puppy dog?,3,william,one,puppydog,,,1,you,,,,,,
663145,00:11:03.145,m,which one is the puppy dog?,2,one,puppydog,,,,0,,,,,,,
665086,00:11:05.86,m,that one that's right,1,one,,,,,2,that,that,,,,,
666808,00:11:06.808,m,say woof woof,0,,,,,,0,,,,,,,
668261,00:11:08.261,m,is that like Milly?,1,milly,,,,,1,that,,,,,,
671126,00:11:11.126,m,okay which one's the frog?,2,one,frog,,,,0,,,,,,,
674486,00:11:14.486,m,that's right,0,,,,,,1,that,,,,,,
687351,00:11:27.351,m,which one is the elephant?,2,one,elephant,,,,0,,,,,,,
689103,00:11:29.103,m,where's the elephant?,1,elephant,,,,,0,,,,,,,
690642,00:11:30.642,m,which one is the elephant?,2,one,elephant,,,,0,,,,,,,
691560,00:11:31.560,m,can you show me?,0,,,,,,2,you,me,,,,,
693090,00:11:33.90,m,[laugh],0,,,,,,0,,,,,,,
695096,00:11:35.96,m,that's the elepant,1,elepant,,,,,1,that,,,,,,
710736,00:11:50.736,m,that's the elepant,1,elepant,,,,,1,that,,,,,,
721525,00:12:01.525,m,who's that?,0,,,,,,1,that,,,,,,
724887,00:12:04.887,m,is it your elephant?,1,elephant,,,,,2,it,your,,,,,
727185,00:12:07.185,m,yeah that's an elephant and that's an elephant,2,elephant,elephant,,,,2,that,that,,,,,
739500,00:12:19.500,m,William I think your elephant is hungry,2,william,elephant,,,,2,i,your,,,,,
742968,00:12:22.968,m,can you give the elephant some food?,2,elephant,food,,,,1,you,,,,,,
744328,00:12:24.328,m,oh that's so nice,0,,,,,,1,that,,,,,,
748748,00:12:28.748,m,good job,0,,,,,,0,,,,,,,
750482,00:12:30.482,m,that's very nice,0,,,,,,1,that,,,,,,
751630,00:12:31.630,m,I think she's hungry,0,,,,,,2,i,she,,,,,
753032,00:12:33.32,m,do you think she would like,0,,,,,,2,you,she,,,,,
755665,00:12:35.665,m,that's an elephant,1,elephant,,,,,1,that,,,,,,
756467,00:12:36.467,m,do you think an elephant would like a pear?,2,elephant,pear,,,,1,you,,,,,,
758540,00:12:38.540,m,can you feed her some pear?,1,pear,,,,,2,you,her,,,,,
760155,00:12:40.155,m,oh that's very nice,0,,,,,,1,that,,,,,,
761950,00:12:41.950,m,thank you thank you,0,,,,,,0,,,,,,,
763300,00:12:43.300,m,xxx what else?,0,,,,,,0,,,,,,,
764259,00:12:44.259,m,oh maybe some sweet potato?,1,sweetpotato,,,,,0,,,,,,,
767788,00:12:47.788,m,yeah excellent excellent,0,,,,,,0,,,,,,,
770022,00:12:50.22,m,okay,0,,,,,,0,,,,,,,
771150,00:12:51.150,m,what else?,0,,,,,,0,,,,,,,
772140,00:12:52.140,m,apple,1,apple,,,,,0,,,,,,,
773160,00:12:53.160,m,do you think the elephant likes apple?,2,elephant,apple,,,,1,you,,,,,,
774520,00:12:54.520,m,we try,0,,,,,,1,we,,,,,,
775676,00:12:55.676,m,oh I think she liked that that's good,0,,,,,,4,i,she,that,that,,,
777478,00:12:57.478,m,do you like apple,1,apple,,,,,1,you,,,,,,
778056,00:12:58.56,m,do you need a bite?,1,bite,,,,,1,you,,,,,,
779178,00:12:59.178,m,you hungry?,0,,,,,,1,you,,,,,,
781151,00:13:01.151,m,okay is that for mama?,1,mama,,,,,1,that,,,,,,
782136,00:13:02.136,m,thank you,0,,,,,,0,,,,,,,
783462,00:13:03.462,m,okay,0,,,,,,0,,,,,,,
784398,00:13:04.398,m,um does she need anything else?,0,,,,,,1,she,,,,,,
787666,00:13:07.666,m,where's xxx,0,,,,,,0,,,,,,,
