Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
56746,00:00:56.746,m,shall we play again?,0,,,,,,1,we,,,,,,
61166,00:01:01.166,m,enough with that book?,1,book,,,,,1,that,,,,,,
83606,00:01:23.606,m,hey Kiran,1,kiran,,,,,0,,,,,,,
83980,00:01:23.980,m,those books are kinda for bigger kids,2,books,kids,,,,1,those,,,,,,
86054,00:01:26.54,m,why don't you,0,,,,,,1,you,,,,,,
86598,00:01:26.598,m,you've got,0,,,,,,1,you,,,,,,
87856,00:01:27.856,m,a lot more books down here,1,books,,,,,0,,,,,,,
89420,00:01:29.420,m,should we read,0,,,,,,1,we,,,,,,
90134,00:01:30.134,m,one of your books over here?,1,books,,,,,1,your,,,,,,
92276,00:01:32.276,m,should we read,0,,,,,,1,we,,,,,,
93874,00:01:33.874,m,hey,0,,,,,,0,,,,,,,
94248,00:01:34.248,m,maybe,0,,,,,,0,,,,,,,
94724,00:01:34.724,m,do you wanna help me put some of these books back on the shelf?,2,books,shelf,,,,1,these,,,,,,
97376,00:01:37.376,m,or do you wanna read subway?,1,subway,,,,,1,you,,,,,,
100776,00:01:40.776,m,no?,0,,,,,,0,,,,,,,
103666,00:01:43.666,m,here,0,,,,,,0,,,,,,,
104414,00:01:44.414,m,should we put some of these books back?,1,books,,,,,2,we,these,,,,,
106998,00:01:46.998,m,oh my first day at school?,1,myfirstdayofschoolbook,,,,,0,,,,,,,
110194,00:01:50.194,m,yeah?,0,,,,,,0,,,,,,,
118524,00:01:58.524,m,you wanns sit on Mama?,1,mama,,,,,1,you,,,,,,
120768,00:02:00.768,m,what you doing?,0,,,,,,1,you,,,,,,
123896,00:02:03.896,m,[laugh],0,,,,,,0,,,,,,,
