Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,Nouns_Spacy,Pronoun_Spacy,,
8058,00:00:08.58,m,okay,0,,,,,,0,,,,,,,,0,0,0.803691275167785,0.818791946308724
8398,00:00:08.398,m,you are free,0,,,,,,1,you,,,,,,,0,1,,
53686,00:00:53.686,m,what are you doing?,0,,,,,,1,you,,,,,,,0,2,,
54944,00:00:54.944,m,scoot,0,,,,,,0,,,,,,,,0,0,,
57086,00:00:57.86,m,scoot,0,,,,,,0,,,,,,,,0,0,,
234881,00:03:54.881,m,oh,0,,,,,,0,,,,,,,,0,0,,
236362,00:03:56.362,m,good baby book,1,book,,,,,0,,,,,,,,2,0,,
239758,00:03:59.758,m,go sit down,0,,,,,,0,,,,,,,,0,0,,
256250,00:04:16.250,m,[signs],0,,,,,,0,,,,,,,,1,0,,
308984,00:05:08.984,m,put that one away before you get another one,1,one,,,,,2,that,you,,,,,,2,1,,
337546,00:05:37.546,m,there it is,0,,,,,,0,,,,,,,,0,1,,
362547,00:06:02.547,m,mac put that away,1,mac,,,,,1,that,,,,,,,0,1,,
364732,00:06:04.732,m,please,0,,,,,,0,,,,,,,,0,0,,
366678,00:06:06.678,m,huh,0,,,,,,0,,,,,,,,0,0,,
465541,00:07:45.541,m,do you want to bring him out?,0,,,,,,2,you,him,,,,,,0,2,,
467942,00:07:47.942,m,bring him out,0,,,,,,1,him,,,,,,,0,1,,
537849,00:08:57.849,m,come here,0,,,,,,0,,,,,,,,0,0,,
538400,00:08:58.400,m,can you bring this one here so i can see you,1,one,,,,,3,you,this,i,,,,,1,3,,
540010,00:09:00.10,m,come on,0,,,,,,0,,,,,,,,0,0,,
660722,00:11:00.722,m,no,0,,,,,,0,,,,,,,,0,0,,
668746,00:11:08.746,m,where is your baby?,1,baby,,,,,1,your,,,,,,,1,1,,
675716,00:11:15.716,m,over there,0,,,,,,0,,,,,,,,0,0,,
676226,00:11:16.226,m,go get your baby,1,baby,,,,,1,your,,,,,,,1,1,,
831368,00:13:51.368,m,no,0,,,,,,0,,,,,,,,0,0,,
838772,00:13:58.772,m,you can take it,0,,,,,,2,you,it,,,,,,0,2,,
839188,00:13:59.188,m,you just can't hold it,0,,,,,,2,you,it,,,,,,0,2,,
890766,00:14:50.766,m,you stink,0,,,,,,1,you,,,,,,,0,1,,
894108,00:14:54.108,m,no,0,,,,,,0,,,,,,,,0,0,,
898901,00:14:58.901,m,[signs],0,,,,,,0,,,,,,,,1,0,,
908065,00:15:08.65,m,oh it is not the end of the world,2,end,world,,,,1,it,,,,,,,2,1,,
931711,00:15:31.711,m,okay,0,,,,,,0,,,,,,,,0,0,,
934456,00:15:34.456,m,no?,0,,,,,,0,,,,,,,,0,0,,
936700,00:15:36.700,m,i am scrubbing,0,,,,,,1,i,,,,,,,0,1,,
940114,00:15:40.114,m,little grumpy?,0,,,,,,0,,,,,,,,1,0,,
945058,00:15:45.58,m,say all clean,0,,,,,,0,,,,,,,,0,1,,
965843,00:16:05.843,m,you are not stuck,0,,,,,,1,you,,,,,,,0,1,,
966858,00:16:06.858,m,you get changed,0,,,,,,1,you,,,,,,,0,1,,
