Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Nouns_Spacy,Pronoun_Spacy,,
0,00:00:00.0,m,missy over here,1,missy,,,,0,,,,,0,0,,
1394,00:00:01.394,m,can I have your attention over?,1,attention,,,,2,i,your,,,1,2,,
2516,00:00:02.516,m,[laugh],0,,,,,0,,,,,0,0,,
2788,00:00:02.788,m,here,0,,,,,0,,,,,0,0,,
2890,00:00:02.890,m,you're playing with the camera,1,camera,,,,1,you,,,,1,1,,
4461,00:00:04.461,m,come here lovey,1,lovey,,,,0,,,,,1,0,,
5946,00:00:05.946,m,pink,1,pink,,,,0,,,,,0,0,,
6672,00:00:06.672,m,that's pink Dylan,2,pink,dylan,,,1,that,,,,0,1,,
8602,00:00:08.602,m,pink,1,,,,,0,,,,,0,0,,
10268,00:00:10.268,m,mmhm,0,,,,,0,,,,,1,0,,
10866,00:00:10.866,m,okay,0,,,,,0,,,,,0,0,,
11594,00:00:11.594,m,I think they all see,0,,,,,2,i,they,,,0,3,,
12478,00:00:12.478,m,they all know it's pink,1,pink,,,,2,they,it,,,0,3,,
13464,00:00:13.464,m,now how do you get it in there?,0,,,,,2,you,it,,,0,2,,
16286,00:00:16.286,m,hmm?,0,,,,,0,,,,,0,0,,
18031,00:00:18.31,m,yeah?,0,,,,,0,,,,,0,0,,
18326,00:00:18.326,m,you have to turn it,0,,,,,2,you,it,,,0,2,,
20194,00:00:20.194,m,you could turn it missy,1,missy,,,,2,you,it,,,0,2,,
22619,00:00:22.619,m,hmm?,0,,,,,0,,,,,0,0,,
24956,00:00:24.956,m,almost,0,,,,,0,,,,,0,0,,
25529,,c,yay,,,,,,,,,,,,,,
26732,00:00:26.732,m,you're not quite yay,0,,,,,1,you,,,,1,0,,
27613,00:00:27.613,m,we have to get it in first,0,,,,,2,we,it,,,1,1,,
29614,00:00:29.614,m,how about there?,0,,,,,0,,,,,0,2,,
30868,00:00:30.868,m,let it go,0,,,,,1,it,,,,0,0,,
33963,00:00:33.963,m,yay,0,,,,,0,,,,,0,1,,
35258,,c,no,,,,,,,,,,,,,,
36046,00:00:36.46,m,okay,0,,,,,0,,,,,1,0,,
37502,00:00:37.502,m,oh yellow?,1,yellow,,,,0,,,,,0,0,,
38216,00:00:38.216,m,you want to do yellow?,1,yellow,,,,1,you,,,,0,0,,
39236,00:00:39.236,m,yellow,1,yellow,,,,0,,,,,0,0,,
40596,00:00:40.596,m,alright,0,,,,,0,,,,,0,1,,
41646,00:00:41.646,m,here we go,0,,,,,1,we,,,,0,0,,
42432,,c,c,,,,,,,,,,,,,,
43758,00:00:43.758,m,okay let's do yellow,1,yellow,,,,0,,,,,0,0,,
44506,00:00:44.506,m,yay,0,,,,,0,,,,,0,1,,
45628,00:00:45.628,m,oh,0,,,,,0,,,,,1,0,,
46444,00:00:46.444,m,[laugh],0,,,,,0,,,,,0,1,,
47260,00:00:47.260,m,oh,0,,,,,0,,,,,1,0,,
47566,00:00:47.566,m,you took,0,,,,,1,you,,,,0,0,,
48178,00:00:48.178,m,come on,0,,,,,0,,,,,0,0,,
48994,00:00:48.994,m,let it go,0,,,,,1,it,,,,0,0,,
50546,00:00:50.546,m,yes let it go,0,,,,,1,it,,,,0,1,,
52181,00:00:52.181,m,you got it you got it let it go,0,,,,,3,you,it,it,,0,0,,
