Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,Nouns_Spacy,Pronoun_Spacy,,
59404,00:00:59.967,m,oh yeah,0,,,,,,0,,,,,,,,0,0,0.828703703703703,0.87037037037037
61967,00:01:01.496,m,thank you,0,,,,,,1,you,,,,,,,0,1,,
69496,00:01:09.47,m,yeah,0,,,,,,0,,,,,,,,0,0,,
71047,00:01:11.40,m,are we reading?,0,,,,,,1,we,,,,,,,0,1,,
72040,00:01:12.616,m,or we are doing Sesame street?,1,sesamestreet,,,,,1,we,,,,,,,1,1,,
75616,00:01:15.554,m,TV?,1,tv,,,,,0,,,,,,,,1,0,,
77554,00:01:17.594,m,let me make some coffee,1,coffee,,,,,1,me,,,,,,,1,1,,
79594,00:01:19.958,m,oh god,0,,,,,,0,,,,,,,,0,0,,
104958,00:01:44.184,m,hey,0,,,,,,0,,,,,,,,0,0,,
135184,00:02:15.754,m,I know I know what you are doing,0,,,,,,2,i,you,,,,,,0,4,,
138754,00:02:18.454,m,stop,0,,,,,,0,,,,,,,,0,0,,
140454,00:02:20.746,m,stop,0,,,,,,0,,,,,,,,0,0,,
141746,00:02:21.868,m,stop,0,,,,,,0,,,,,,,,0,0,,
142868,00:02:22.156,m,stop,0,,,,,,0,,,,,,,,0,0,,
154156,#REF!,m,what?,0,,,,,,0,,,,,,,,0,1,,
175079,00:02:55.868,m,yeah uh no,0,,,,,,0,,,,,,,,0,0,,
176868,00:02:56.662,m,no it's not,0,,,,,,1,it,,,,,,,0,1,,
188662,00:03:08.494,m,alright should we turn on Sesame?,1,sesame,,,,,1,we,,,,,,,0,1,,
193494,00:03:13.368,m,you want your milk?,1,milk,,,,,2,you,your,,,,,,1,2,,
202368,00:03:22.40,m,[laughing],0,,,,,,0,,,,,,,,0,0,,
206040,00:03:26.484,m,you want her to join us?,0,,,,,,3,you,her,us,,,,,0,3,,
218484,00:03:38.812,m,[laughing],0,,,,,,0,,,,,,,,0,0,,
231812,00:03:51.393,m,no maybe she will sit over there,0,,,,,,1,she,,,,,,,0,1,,
234393,00:03:54.916,m,maybe she'll sit over there,0,,,,,,1,she,,,,,,,0,1,,
243916,00:04:03.996,m,is that good?,0,,,,,,1,that,,,,,,,0,1,,
281996,00:04:41.872,m,cookie monster,1,cookiemonster,,,,,0,,,,,,,,0,0,,
4569872,01:16:09.68,m,yay,0,,,,,,0,,,,,,,,1,0,,
4573068,01:16:13.578,m,[kissing],0,,,,,,0,,,,,,,,0,0,,
4573578,01:16:13.312,m,I think xxx,0,,,,,,1,i,,,,,,,0,1,,
4575312,01:16:15.434,m,right?,0,,,,,,0,,,,,,,,0,0,,
4576434,01:16:16.372,m,bobka?,1,bobka,,,,,0,,,,,,,,0,0,,
4578372,01:16:18.174,m,bobka?,1,bobka,,,,,0,,,,,,,,0,0,,
4580174,01:16:20.634,m,bobka?,1,bobka,,,,,0,,,,,,,,0,0,,
4586634,01:16:26.110,m,alright,0,,,,,,0,,,,,,,,0,0,,
4587110,01:16:27.150,m,do you want to eat something else kid?,1,kid,,,,,1,you,,,,,,,1,2,,
4589150,01:16:29.952,m,no?,0,,,,,,0,,,,,,,,0,0,,
4590952,01:16:30.434,m,should we go potty?,0,,,,,,1,we,,,,,,,0,1,,
4593434,01:16:33.596,m,no?,0,,,,,,0,,,,,,,,0,0,,
4596596,01:16:36.243,m,no?,0,,,,,,0,,,,,,,,0,0,,
4612243,01:16:52.738,m,you had a big day yesterday,1,day,,,,,1,you,,,,,,,2,1,,
4632738,01:17:12.764,m,what?,0,,,,,,0,,,,,,,,0,1,,
4635764,01:17:15.76,m,do you,0,,,,,,1,you,,,,,,,0,1,,
4638076,01:17:18.408,m,thanks,0,,,,,,0,,,,,,,,1,0,,
4641408,01:17:21.216,m,what were you looking for?,0,,,,,,1,you,,,,,,,0,2,,
4645216,01:17:25.535,m,I see Bob and Abby,2,bob,abby,,,,1,i,,,,,,,0,1,,
4648535,01:17:28.58,m,Abby,1,abby,,,,,0,,,,,,,,0,0,,
4649058,01:17:29.98,m,Bob,1,bob,,,,,0,,,,,,,,0,0,,
4651098,#REF!,m,Bob,1,bob,,,,,0,,,,,,,,0,0,,
4655484,01:17:35.986,m,oh nana might be calling,1,nana,,,,,0,,,,,,,,0,0,,
4658986,#REF!,m,nana,1,nana,,,,,0,,,,,,,,0,0,,
4797128,01:19:57.237,m,oh,0,,,,,,0,,,,,,,,0,0,,
4798237,01:19:58.80,m,thank you,0,,,,,,1,you,,,,,,,0,1,,
4826080,01:20:26.374,m,xxx,0,,,,,,0,,,,,,,,0,0,,
4828374,#REF!,m,yeah?,0,,,,,,0,,,,,,,,0,0,,
5066510,01:24:26.402,m,you can do it,0,,,,,,2,you,it,,,,,,0,2,,
5068402,01:24:28.270,m,did you poop again?,0,,,,,,1,you,,,,,,,0,1,,
5071270,01:24:31.290,m,oh,0,,,,,,0,,,,,,,,0,0,,
5072290,01:24:32.650,m,was xxx in your mouth?,1,mouth,,,,,1,your,,,,,,,1,1,,
5073650,01:24:33.548,m,I got it,0,,,,,,2,i,it,,,,,,0,2,,
5090548,01:24:50.118,m,okay,0,,,,,,0,,,,,,,,0,0,,
5094118,01:24:54.408,m,wait,0,,,,,,0,,,,,,,,0,0,,
5100408,01:25:00.500,m,okay,0,,,,,,0,,,,,,,,0,0,,
5108500,01:25:08.227,m,do you want yogurt?,1,yogurt,,,,,1,you,,,,,,,1,1,,
5118227,01:25:18.998,m,yes?,0,,,,,,0,,,,,,,,0,0,,
5121998,01:25:21.208,m,do you want to go in or out?,0,,,,,,1,you,,,,,,,0,1,,
5124208,01:25:24.152,m,out?,0,,,,,,0,,,,,,,,0,0,,
5128152,01:25:28.934,m,wait one second,1,second,,,,,0,,,,,,,,1,0,,
5128934,01:25:28.690,m,I'm cleaning up that bug,1,bug,,,,,2,i,that,,,,,,1,1,,
5133690,01:25:33.276,m,yeah?,0,,,,,,0,,,,,,,,0,0,,
5141276,01:25:41.890,m,yes?,0,,,,,,0,,,,,,,,0,0,,
5143890,01:25:43.312,m,I don't know why I put that,0,,,,,,3,i,i,that,,,,,0,3,,
5153312,01:25:53.914,m,what happened?,0,,,,,,0,,,,,,,,0,1,,
5161914,01:26:01.920,m,ew gross,0,,,,,,0,,,,,,,,1,0,,
5163920,01:26:03.494,m,bug ew,1,bug,,,,,0,,,,,,,,0,0,,
5242494,01:27:22.126,m,you hungry?,0,,,,,,1,you,,,,,,,0,1,,
5261126,01:27:41.598,m,alright let's see,0,,,,,,0,,,,,,,,0,1,,
5293598,01:28:13.282,m,oh you want to put it on the back okay,0,,,,,,2,you,it,,,,,,1,2,,
5296282,01:28:16.302,m,yeah that's good,0,,,,,,1,that,,,,,,,0,1,,
5297302,01:28:17.518,m,do it,0,,,,,,1,it,,,,,,,0,1,,
5301518,01:28:21.68,m,what?,0,,,,,,0,,,,,,,,0,1,,
5304068,01:28:24.312,m,like that?,0,,,,,,1,that,,,,,,,0,1,,
5306312,01:28:26.780,m,do you want a book?,1,book,,,,,1,you,,,,,,,1,1,,
5309780,01:28:29.92,m,do you want a book?,1,book,,,,,1,you,,,,,,,1,1,,
5312092,01:28:32.446,m,okay,0,,,,,,0,,,,,,,,0,0,,
5787446,01:36:27.118,m,Orly here are your other two music books,2,orly,musicbooks,,,,1,your,,,,,,,2,1,,
6216118,01:43:36.30,m,xxx,0,,,,,,0,,,,,,,,0,0,,
6249030,01:44:09.387,m,that's pretty good,0,,,,,,1,that,,,,,,,0,1,,
6250387,01:44:10.668,m,it's inside out but you're getting there,0,,,,,,1,it,you,,,,,,0,2,,
6252668,#REF!,m,let's get you dressed for real going,0,,,,,,1,you,,,,,,,0,2,,
6255703,01:44:15.564,m,where's your head?,1,head,,,,,1,your,,,,,,,1,1,,
6257564,01:44:17.890,m,[adult babble],0,,,,,,0,,,,,,,,2,0,,
6258890,01:44:18.254,m,alright let me send this okay?,0,,,,,,2,me,this,,,,,,0,2,,
6261254,01:44:21.562,m,you're going to start with that,0,,,,,,2,you,that,,,,,,0,2,,
6262562,01:44:22.844,m,great,0,,,,,,0,,,,,,,,0,0,,
6271844,01:44:31.814,m,yeah?,0,,,,,,0,,,,,,,,0,0,,
6278814,01:44:38.208,m,hi,0,,,,,,0,,,,,,,,0,0,,
6281208,#REF!,m,you okay?,0,,,,,,1,you,,,,,,,0,1,,
6286270,01:44:46.742,m,no well I don't want you to get choked,0,,,,,,2,i,you,,,,,,0,2,,
6300742,#REF!,m,yeah?,0,,,,,,0,,,,,,,,0,0,,
6357592,01:45:57.252,m,here let's do it on the floor,1,floor,,,,,1,it,,,,,,,1,2,,
6374252,01:46:14.837,m,I have a cup,1,cup,,,,,1,i,,,,,,,1,1,,
6374837,01:46:14.430,m,can I have a crayon?,1,crayon,,,,,1,i,,,,,,,1,1,,
6376430,01:46:16.796,m,no?,0,,,,,,0,,,,,,,,0,0,,
6380796,01:46:20.944,m,thank you,0,,,,,,1,you,,,,,,,0,1,,
6389944,01:46:29.657,m,here,0,,,,,,0,,,,,,,,0,0,,
6390657,01:46:30.75,m,I think you switch forward it is easier to draw when it's on the floor,1,floor,,,,,4,i,you,it,it,,,,1,4,,
6395075,01:46:35.624,m,like in front of hard ground,1,ground,,,,,0,,,,,,,,2,0,,
6396624,01:46:36.562,m,yeah,0,,,,,,0,,,,,,,,0,0,,
6398562,01:46:38.203,m,I know I'm giving it to you,0,,,,,,4,i,i,it,you,,,,0,4,,
6400203,01:46:40.68,m,no no no no,0,,,,,,0,,,,,,,,0,0,,
6401068,01:46:41.234,m,not draw on the floor,1,floor,,,,,0,,,,,,,,1,0,,
6402234,01:46:42.198,m,put the paper on the floor,2,paper,floor,,,,0,,,,,,,,2,0,,
6407198,01:46:47.313,m,okay mine,0,,,,,,1,mine,,,,,,,1,0,,
6410313,01:46:50.516,m,what do you need?,0,,,,,,1,you,,,,,,,0,2,,
6411516,01:46:51.795,m,another piece?,1,piece,,,,,0,,,,,,,,1,0,,
6414795,01:46:54.998,m,another piece?,1,piece,,,,,0,,,,,,,,1,0,,
6430998,01:47:10.508,m,try it,0,,,,,,1,it,,,,,,,0,1,,
6431508,01:47:11.174,m,try a lighter color yeah,1,color,,,,,0,,,,,,,,1,0,,
6433174,01:47:13.21,m,then you can see it better,0,,,,,,2,you,it,,,,,,0,2,,
6435021,01:47:15.458,m,a little bit,0,,,,,,0,,,,,,,,1,0,,
6450458,01:47:30.874,m,I'm coming,0,,,,,,1,i,,,,,,,0,1,,
6455874,01:47:35.178,m,wait wait wait no no,0,,,,,,0,,,,,,,,0,0,,
6457178,01:47:37.150,m,Orly that's not a good spot,2,orly,spot,,,,1,that,,,,,,,1,1,,
6459150,01:47:39.360,m,that's not a good spot,1,spot,,,,,1,that,,,,,,,1,1,,
6461360,01:47:41.754,m,come on,0,,,,,,0,,,,,,,,0,0,,
6462754,01:47:42.454,m,we don't have a lapdesk,1,lapdesk,,,,,1,we,,,,,,,1,1,,
6464454,01:47:44.813,m,maybe for your birthday,1,birthday,,,,,1,your,,,,,,,1,1,,
6465813,01:47:45.936,m,let's go to your desk,1,desk,,,,,1,your,,,,,,,1,2,,
6466936,01:47:46.628,m,come here,0,,,,,,0,,,,,,,,0,0,,
6471628,01:47:51.134,m,yours,0,,,,,,1,yours,,,,,,,1,0,,
6477134,01:47:57.884,m,no,0,,,,,,0,,,,,,,,0,0,,
6477884,01:47:57.98,m,no not in there,0,,,,,,0,,,,,,,,0,0,,
6479098,01:47:59.855,m,no,0,,,,,,0,,,,,,,,0,0,,
6480855,01:48:00.873,m,no,0,,,,,,0,,,,,,,,0,0,,
6484873,01:48:04.972,m,[adult babble],0,,,,,,0,,,,,,,,2,0,,
6486972,01:48:06.527,m,yeah,0,,,,,,0,,,,,,,,0,0,,
6487527,01:48:07.914,m,[kissing],0,,,,,,0,,,,,,,,0,0,,
6487914,01:48:07.546,m,I caught you,0,,,,,,2,i,you,,,,,,0,2,,
6489546,01:48:09.403,m,I caught you,0,,,,,,2,i,you,,,,,,0,2,,
6491403,01:48:11.354,m,do you want to sit on the potty?,1,potty,,,,,1,you,,,,,,,1,1,,
6493354,01:48:13.490,m,[kissing],0,,,,,,0,,,,,,,,0,0,,
6493490,01:48:13.46,m,I shouldn't have asked you,0,,,,,,2,i,you,,,,,,0,2,,
6498046,01:48:18.188,m,okay let's put on real clothes,1,clothes,,,,,0,,,,,,,,1,1,,
6500188,01:48:20.888,m,let's put on real clothes and think about taking the dog out,2,clothes,dog,,,,0,,,,,,,,2,1,,
6502888,#REF!,m,[adult babble],0,,,,,,0,,,,,,,,2,0,,
6505934,01:48:25.858,m,uhoh,0,,,,,,0,,,,,,,,0,0,,
6508858,01:48:28.422,m,let go of the crayon,1,crayon,,,,,0,,,,,,,,1,0,,
6510422,01:48:30.476,m,let go of the crayon,1,crayon,,,,,0,,,,,,,,1,0,,
6511476,01:48:31.682,m,yeah,0,,,,,,0,,,,,,,,0,0,,
6523682,01:48:43.736,m,here here here look,0,,,,,,0,,,,,,,,0,0,,
6524736,01:48:44.164,m,wait wait wait look look look look look,0,,,,,,0,,,,,,,,0,0,,
6526164,01:48:46.82,m,I'll show you Orly,1,orly,,,,,2,i,you,,,,,,0,2,,
6527082,01:48:47.324,m,let go,0,,,,,,0,,,,,,,,0,0,,
6534324,01:48:54.225,m,there it is,0,,,,,,1,it,,,,,,,0,1,,
6554225,01:49:14.238,m,[adult babble],0,,,,,,0,,,,,,,,2,0,,
6579238,01:49:39.760,m,okay,0,,,,,,0,,,,,,,,0,0,,
6583760,01:49:43.888,m,where do you think you put your socks?,1,socks,,,,,3,you,you,your,,,,,1,3,,
6586888,01:49:46.622,m,you put them on the chair?,1,chair,,,,,2,you,them,,,,,,1,2,,
6588622,01:49:48.994,m,yep there they are,0,,,,,,1,they,,,,,,,0,1,,
6593994,01:49:53.772,m,what?,0,,,,,,0,,,,,,,,0,1,,
6600772,01:50:00.718,m,do you want them up more or down?,0,,,,,,2,you,them,,,,,,0,2,,
6603718,01:50:03.362,m,down?,0,,,,,,0,,,,,,,,0,0,,
6626362,01:50:26.671,m,[singing],0,,,,,,0,,,,,,,,0,0,,
6632671,01:50:32.86,m,that one?,1,one,,,,,1,that,,,,,,,0,0,,
6642086,01:50:42.246,m,which color?,1,color,,,,,0,,,,,,,,1,0,,
6644246,01:50:44.728,m,oh that one okay,1,one,,,,,1,that,,,,,,,0,0,,
6646728,01:50:46.388,m,bless you,0,,,,,,1,you,,,,,,,0,1,,
6662388,01:51:02.352,m,thank you,0,,,,,,1,you,,,,,,,0,1,,
6668352,01:51:08.516,m,here let me scoot you in,0,,,,,,2,me,you,,,,,,0,2,,
6671516,01:51:11.267,m,I don't want you to color on me,0,,,,,,3,i,you,me,,,,,0,3,,
6673267,01:51:13.202,m,you want black?,1,black,,,,,1,you,,,,,,,0,1,,
6686202,01:51:26.990,m,hey,0,,,,,,0,,,,,,,,0,0,,
6688990,#REF!,m,hi,0,,,,,,0,,,,,,,,0,0,,
6700448,01:51:40.831,m,Orly stop,1,orly,,,,,0,,,,,,,,0,0,,
6701831,01:51:41.576,m,stop,0,,,,,,0,,,,,,,,0,0,,
6703576,01:51:43.984,m,I see you doing that,0,,,,,,3,i,you,that,,,,,0,3,,
6707984,01:51:47.170,m,what am I going to say?,0,,,,,,1,i,,,,,,,0,2,,
6715170,01:51:55.798,m,you can't color if you are going to color on things,1,things,,,,,2,you,you,,,,,,1,2,,
6794798,01:53:14.846,m,xxx,0,,,,,,0,,,,,,,,0,0,,
6795846,01:53:15.364,m,xxx good to eat,0,,,,,,0,,,,,,,,0,0,,
6807364,01:53:27.882,m,back up,0,,,,,,0,,,,,,,,0,0,,
6808882,01:53:28.798,m,Orly back up,1,orly,,,,,0,,,,,,,,0,0,,
6811798,01:53:31.500,m,stop xxx,0,,,,,,0,,,,,,,,0,0,,
6825500,01:53:45.256,m,back up,0,,,,,,0,,,,,,,,0,0,,
6828256,01:53:48.416,m,no touching,0,,,,,,0,,,,,,,,1,0,,
6834416,01:53:54.876,m,no touch hey,0,,,,,,0,,,,,,,,1,0,,
6837876,01:53:57.131,m,I'm watching you,0,,,,,,2,i,you,,,,,,0,2,,
6840131,01:54:00.214,m,I see you,0,,,,,,2,i,you,,,,,,0,2,,
6842214,#REF!,m,pandora,1,pandora,,,,,0,,,,,,,,0,0,,
6878132,01:54:38.267,m,hey,0,,,,,,0,,,,,,,,0,0,,
6879267,#REF!,m,let's not break things,1,things,,,,,0,,,,,,,,1,1,,
6903632,01:55:03.170,m,hi,0,,,,,,0,,,,,,,,0,0,,
6912170,01:55:12.310,m,hi,0,,,,,,0,,,,,,,,0,0,,
6915310,01:55:15.583,m,hi,0,,,,,,0,,,,,,,,0,0,,
6918583,01:55:18.672,m,[laughing],0,,,,,,0,,,,,,,,0,0,,
6922672,01:55:22.235,m,let's try doing your hair,1,hair,,,,,1,your,,,,,,,1,2,,
6929235,01:55:29.642,m,[kissing],0,,,,,,0,,,,,,,,0,0,,
6929642,01:55:29.110,m,what's wrong?,0,,,,,,0,,,,,,,,0,1,,
6933110,01:55:33.876,m,it's fine,0,,,,,,0,,,,,,,,0,1,,
6938876,01:55:38.132,m,what do you want?,0,,,,,,1,you,,,,,,,0,2,,
6946132,01:55:46.121,m,your hair is in your face,2,hair,face,,,,2,your,your,,,,,,2,2,,
6947121,01:55:47.2,m,you should really you should pull it back,0,,,,,,3,you,you,it,,,,,0,3,,
6982002,01:56:22.762,m,what the washing machine?,1,washingmachine,,,,,0,,,,,,,,2,1,,
6986762,01:56:26.743,m,[kissing],0,,,,,,0,,,,,,,,0,0,,
7048743,01:57:28.546,m,that's your hair,1,hair,,,,,2,that,your,,,,,,1,2,,
7080546,01:58:00.316,m,yeah?,0,,,,,,0,,,,,,,,0,0,,
7081316,01:58:01.676,m,thank you,0,,,,,,1,you,,,,,,,0,1,,
7082676,01:58:02.770,m,you but you just put it in there,0,,,,,,3,you,you,it,,,,,0,3,,
7084770,01:58:04.940,m,you did a good job,1,job,,,,,1,you,,,,,,,1,1,,
7087940,01:58:07.414,m,why don't you go get a bigger one?,1,one,,,,,1,you,,,,,,,1,1,,
7091414,01:58:11.24,m,yeah,0,,,,,,0,,,,,,,,0,0,,
7097024,01:58:17.696,m,[laughing],0,,,,,,0,,,,,,,,0,0,,
7100696,01:58:20.637,m,so typically we take Sady out for a walk now,2,sady,walk,,,,1,we,,,,,,,1,1,,
5613637,01:33:33.960,o,uh,0,,,,,,0,,,,,,,,0,0,,
7103960,01:58:23.48,o,um okay,0,,,,,,0,,,,,,,,0,0,,
7105048,#REF!,o,we can clip it out,0,,,,,,2,we,it,,,,,,0,2,,
