Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
19448,00:00:19.448,m,yes yes,0,,,,,,0,,,,,,,
20808,00:00:20.808,m,xxx the tum,1,tum,,,,,0,,,,,,,
33966,00:00:33.966,m,xxx the fridge,1,fridge,,,,,0,,,,,,,
42432,00:00:42.432,m,a little  bit of cream?,2,bit,cream,,,,0,,,,,,,
45696,00:00:45.696,m,okay,0,,,,,,0,,,,,,,
46818,00:00:46.818,m,just a little bit,1,bit,,,,,0,,,,,,,
52292,00:00:52.292,m,okay,0,,,,,,0,,,,,,,
57936,00:00:57.936,m,okay,0,,,,,,0,,,,,,,
58208,00:00:58.208,m,we go,0,,,,,,1,we,,,,,,
67014,00:01:07.14,m,xxx,0,,,,,,0,,,,,,,
75004,00:01:15.4,m,ah,0,,,,,,0,,,,,,,
79798,00:01:19.798,m,are they yummy?,0,,,,,,1,they,,,,,,
82790,00:01:22.790,m,xxx actually the strawberry,1,strawberry,,,,,0,,,,,,,
86054,00:01:26.54,m,you do it,0,,,,,,2,you,it,,,,,
93058,00:01:33.58,m,no you do it,0,,,,,,2,you,it,,,,,
127160,00:02:07.160,m,good job,0,,,,,,0,,,,,,,
130866,00:02:10.866,m,yeah,0,,,,,,0,,,,,,,
131104,00:02:11.104,m,you got more,0,,,,,,1,you,,,,,,
132872,00:02:12.872,m,here,0,,,,,,0,,,,,,,
149804,00:02:29.804,m,take the fork,1,fork,,,,,0,,,,,,,
153170,00:02:33.170,m,yeah,0,,,,,,0,,,,,,,
154088,00:02:34.88,m,take the fork,1,fork,,,,,0,,,,,,,
156876,00:02:36.876,m,yeah,0,,,,,,0,,,,,,,
160344,00:02:40.344,m,okay,0,,,,,,0,,,,,,,
171258,00:02:51.258,m,what?,0,,,,,,0,,,,,,,
171462,00:02:51.462,m,you wanna go color?,0,,,,,,1,you,,,,,,
175542,00:02:55.542,m,you wanna finish this first?,0,,,,,,2,you,this,,,,,
177684,00:02:57.684,m,I'll come with you,0,,,,,,2,i,you,,,,,
178262,00:02:58.262,m,you wanna finish this first?,0,,,,,,2,you,this,,,,,
180472,00:03:00.472,m,okay,0,,,,,,0,,,,,,,
180982,00:03:00.982,m,wanna take the strawberries with you?,1,strawberries,,,,,1,you,,,,,,
186966,00:03:06.966,m,okay,0,,,,,,0,,,,,,,
437376,00:07:17.376,m,that's for you to color,0,,,,,,2,that,you,,,,,
446420,00:07:26.420,m,what are you doing?,0,,,,,,1,you,,,,,,
452166,00:07:32.166,m,can I color?,0,,,,,,1,i,,,,,,
454716,00:07:34.716,m,thank you,0,,,,,,1,you,,,,,,
458422,00:07:38.422,m,yeah,0,,,,,,0,,,,,,,
458694,00:07:38.694,m,we had color,0,,,,,,1,we,,,,,,
463352,00:07:43.352,m,color color color color,0,,,,,,0,,,,,,,
464984,00:07:44.984,m,with more strawberries?,1,strawberries,,,,,0,,,,,,,
470832,00:07:50.832,m,mmhm,0,,,,,,0,,,,,,,
