Timestamp (ms),Timestamp,Speaker,Transcript,Showing（1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
13226,00:00:13.226,m,morning,0,,0,,1,morning,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,0.85357624831309,0.869770580296896
16252,00:00:16.252,m,hi,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
19618,00:00:19.618,m,we have a friend here today,0,,0,,1,friend,,,,,1,we,,,,,,,0,1,motherandchild,,,,,,,1,0,,,,,2,1,,
22950,00:00:22.950,m,who are you?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,2,,
23766,00:00:23.766,m,miss xxx,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
26520,00:00:26.520,m,well done,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
27982,00:00:27.982,m,can you say hi?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
30158,00:00:30.158,m,no,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
31756,00:00:31.756,m,you want to come up?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
33932,00:00:33.932,m,yeah,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
35598,00:00:35.598,m,you slept for so long today,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,1,1,,
39882,00:00:39.882,m,were you so tired?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
43452,00:00:43.452,m,mmm?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
45662,00:00:45.662,m,yeah,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
45664,00:00:45.664,m,we better get your nap toy up first?,0,,0,,1,naptoy,,,,,2,we,your,,,,,,1,1,motherandchild,naptoy,,,,,,1,1,,,,,2,2,,
49368,00:00:49.368,m,mmm?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
53584,00:00:53.584,m,mmua,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
55420,00:00:55.420,m,gonna take your sleepysuit off,0,,0,,1,sleepysuit,,,,,1,your,,,,,,,1,0,pajamas,,,,,,,1,1,,,,,1,1,,
59874,00:00:59.874,m,wow,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
60658,00:01:00.658,m,do you want to play with your phone?,0,,0,,1,phone,,,,,2,you,your,,,,,,1,1,child,phone,,,,,,1,1,,,,,1,2,,
67830,00:01:07.830,m,good morning,0,,0,,1,morning,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
69158,00:01:09.158,m,good morning,0,,0,,1,morning,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
73168,00:01:13.168,m,come here,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
73882,00:01:13.882,m,are you hungry?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
76398,00:01:16.398,m,you are not hungry?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
78438,00:01:18.438,m,you don't want to eat anything?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,2,,
