Timestamp (ms),Timestamp,Speaker,Transcript,Showing （1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
9018,00:00:09.18,m,go look,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,0.800150829562594,0.892156862745098
10079,00:00:10.79,m,go look for your water,0,,0,,1,water,,,,,1,your,,,,,,,1,0,childswater,,,,,,,1,1,,,,,1,1,,
14807,00:00:14.807,m,mommy come with you?,0,,0,,1,mommy,,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,0,1,,
17442,00:00:17.442,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
19084,00:00:19.84,m,yeah,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
19254,00:00:19.254,m,let's go,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
19945,00:00:19.945,m,where's your water bottle?,0,,0,,1,waterbottle,,,,,1,your,,,,,,,1,0,childswaterbottle,,,,,,,1,1,,,,,2,1,,
33194,00:00:33.194,m,huh,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
33608,00:00:33.608,m,I see it,0,,0,,0,,,,,,2,i,it,,,,,,0,2,mother,childswaterbottle,,,,,,0,0,,,,,0,2,,
34708,00:00:34.708,m,go get it,0,,0,,0,,,,,,1,it,,,,,,,0,1,childswaterbottle,,,,,,,0,0,,,,,0,1,,
41366,00:00:41.366,m,come on,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
46612,00:00:46.612,m,oh,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
47271,00:00:47.271,m,did you bonk?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
49318,00:00:49.318,m,aw,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
