"Order","ID","Utterance","Feature"
1,7,"        oh it's orange and, uh, a thing on the, top.","P"
1,7,"        a pumpkin.","L"
1,7,"        a orange well it's a like a on the ground.","P+F"
1,7,"        grows out.","F"
1,7,"        HM &=shrugs.","NA"
1,7,"        that's a dancing.","L"
1,7,"        maybe it's yellow and black and, and maybe it's pink, and right about it's, black ⌈ um⌉.","P"
1,7,"        and pink and red.","P"
1,7,"        xxx this &=tries:turn_page.","NA"
1,7,"        red &=points:picture.","P"
1,7,"        butterfly.","L"
1,7,"        a orange and black and, and white.","P"
1,7,"        it's flies.","F"
1,7,"        and it's, flies in a flower.","F"
1,7,"        white and black.","P"
1,7,"        I know.","I"
1,7,"        that is a skunk.","L"
1,7,"        white and black.","P"
1,7,"        that is white and black &=points:picture.","NA"
1,7,"        a ice cream.","L"
1,7,"        and a black um little bit orange there, and pink.","P"
1,7,"        uh it's a have a thing on this, there.","P"
1,7,"        this is, a Zorg this is orange and pink.","P"
1,7,"        oh.","NA"
1,7,"        a dolphin.","L"
1,7,"        WI and a white and a and blue.","P"
1,7,"        it's a blue and it splashes all around.","P+F"
1,7,"        org this is blue and white and, and black.","P"
1,7,"        that's orange and black and green.","P"
1,7,"        a pine cone.","L"
1,7,"        it's orange and a green.","P"
1,7,"        org this is orange and green.","P"
1,7,"        see &=turns:page?","NA"
1,7,"        a fire fire.","L"
1,7,"        it's black and green, and colors.","P"
1,7,"        it's have white.","P"
1,7,"        org this is white and black and colors.","P"
1,7,"        pie.","L"
1,7,"        orange and.","P"
1,7,"        HM.","NA"
1,7,"        and uh HM when can that, be on the bottom &=points:picture.","P"
1,7,"        it's orange and, and orange.","P"
1,7,"        a orange and a, another orange.","NA"
1,7,"        and a birdie with blue and green, and blue and yellow.","L+P"
1,7,"        its flies has wings.","F+P"
1,7,"        it's a it flies.","F"
1,7,"        it does xxx and it and it goes in a cave.","F"
1,7,"        a blue and green and yellow.","P"
1,7,"        a cracker.","L"
1,7,"        a cracker that's that's blue and a I mean a, orange and white.","L+P"
1,7,"        it's a colors.","P"
1,7,"        it can eat.","F"
1,7,"        it eats.","NA"
1,7,"        org this is orange and white.","P"
1,7,"        so.","NA"
1,7,"        it's a blue, and green I mean, I mean what is this?","P"
1,7,"        I think this is blue and green and yellow and black and and Grey and yellow blue.","P"
1,7,"        it's walks.","F"
1,7,"        so.","NA"
1,7,"        a cat.","L"
1,7,"        a a let's see.","NA"
1,7,"        yellow and black.","P"
1,7,"        it has paws and it have a long tail.","P"
1,7,"        org Zorg this is white and ⌊black⌋.","P"
1,7,"        a black and a white.","P"
1,7,"        it it walks.","F"
1,7,"        org this is black and white.","P"
2,8,"        a pineapple.","L"
2,8,"        it has thorns, like stick +...","P+T"
2,8,"        and, it has green [?] stuff on right here.","P"
2,8,"        a kitty.","L"
2,8,"        it has stripes.","P"
2,8,"        and it has a stripe- it has stripes on the foot.","P"
2,8,"        it has, one two three four legs.","P"
2,8,"        and, yeah.","NA"
2,8,"                ⌈a skunk⌉.","L"
2,8,"        um, I have a beanie baby skunk.","I+T"
2,8,"        <a beanie baby one> [?].","NA"
2,8,"        what?","NA"
2,8,"        uh-huh [= yes].","NA"
2,8,"        it has white stuff.","P"
2,8,"        and, it has pointy <stuff on it> [?].","P"
2,8,"        and it stinks.","P"
2,8,"        and it's all black.","P"
2,8,"        a little is white.","P"
2,8,"        a cupcake.","L"
2,8,"        um it has raisins in it or blueberries.","P"
2,8,"        and, one time I went picking blueberries.","NA"
2,8,"        I had to have the smallest pan (be)cause I was the littlest.","NA"
2,8,"        first name has had the big one but my mommy and daddy had the biggest.","NA"
2,8,"        my daddy used what I used when he was little.","NA"
2,8,"        uh-huh [= yes].","NA"
2,8,"        it has nuts in it, too.","P"
2,8,"        a fireman.","L"
2,8,"        um he is wash- he's getting out the fire.","P"
2,8,"        uh-huh [= yes] he's just xxx that he's holding.","P"
2,8,"        and, he has a point he has a thing.","P"
2,8,"        ah &=turns:page.","NA"
2,8,"        a ballerina.","L"
2,8,"        mm she, these things are called tutus &=points:tutu.","P"
2,8,"        it's a kind of a funny name.","I"
2,8,"        and, toe shoes.","P"
2,8,"        another toe shoe.","P"
2,8,"        and she has, yellow hair.","P"
2,8,"        black tights.","P"
2,8,"        I have a ballerina suit.","I+L"
2,8,"        but it's light pink.","I"
2,8,"        &=laughs and I don't know.","I"
2,8,"        a parrot.","L"
2,8,"        um it has a bunch of blue and green.","P"
2,8,"        green here and green here.","P"
2,8,"        yellow and yellow.","P"
2,8,"        and it's um he's standing on something.","P"
2,8,"        mm-HM [= yes].","NA"
2,8,"        and it has ears [?].","P"
2,8,"        bunch of xxx.","NA"
2,8,"        next one what is I know this one.","I"
2,8,"        um a a dolphin or a whale.","T+L"
2,8,"        um it has a bunch of black and white on the bottom.","P"
2,8,"        I guess it's a whale.","L"
2,8,"        and it's swimming in, a lake.","P"
2,8,"        I'm finished.","NA"
2,8,"        um it's a, man that's working in his office.","L"
2,8,"        um he has glasses but he's a little mad.","P+I"
2,8,"        yes.","NA"
2,8,"        and he has a book ⌈<I mean> [?]⌉.","P"
2,8,"        &=laughs oh.","NA"
2,8,"        and he has a mean look.","I"
2,8,"        a cracker.","L"
